fruits,alcohols,non-alcohols,others
naranja sanguina,benedictino,agua con gas,helado
manzana,vermut,orgeat,cubo de hielo
fruta,licor de café,jugo de maracuyá,menta
fresa,cerveza,agua mineral con gas,azúcar glas
naranja,licor de manzana,jarabe de azúcar de caña,azúcar granulado
lima,ron oscuro,jugo de limón,sal de apio
litchi,Campari,jugo de tomate,leche entera
cereza,Get 27,jugo de bayas,pistacho
coco,licor de albaricoque,jugo de mango,pepinos
kiwi,crema de cassis,jugo de albaricoque,leche de arroz
kumquat,vino rosado,Schweppes,crema de café
piña,ron ámbar,jugo de fresa,salsa Tabasco
pera,Cointreau,jarabe de fruta,coriandro
azúcar moreno,coñac,Coca-Cola,azúcar de caña
fruta,cachaça,jugo de plátano,ralladura de limón
frambruesa,prosecco,jugo de uva,canela
melón,vino blanco,agua con gas,
bayas,kirsch,jarabe,jengibre
grosella negra,Grand Marnier,jarabe de durazno,wasabi
cassis,curaçao azul,jugo de cereza,crema agria
plátano,Noilly Prat,jarabe de durazno,crema batida ligera
mandarina clementina,calvados,jarabe de grosella,nuez moscada
limón,brandy de ciruela,jugo de guayaba,azúcar moreno
albaricoque,martini,refresco,azúcar
pomelo,triple sec,jarabe de sangría,azúcar de vainilla
,whisky,jugo de piña,huevo
,gin,café,basil de anís
,vodka,jugo de tamarindo,ralladura de lima
,stout,amargo de angostura, sidra de manzana
,licor,agua,jarabe de maracuyá
,vino espumoso,limonada,jarabe de limón
,ron,jugo,sal
,porto,jugo de arándano,rodaja de limón
,licor de limón,jugo de limón,hierba de limón
,tequila,jugo de toronja,pimienta
,martini blanco,jarabe de naranja,salsa Worcestershire
,ron blanco,jugo de pera,hielo triturado
,licor de litchi,jugo de litchi,leche de coco
,cidra dura,granadina,
,pastis,jugo de naranja,
,martini rojo,jarabe de fresa,
,vino de arroz,jarabe de menta,
,crémant,jugo multivitamínico,
,ron Malibú,jugo de manzana,
,mangalore,,
,Pisang Ambon,,
,Noilly Prat,,
,licor de pera,,
,champán,,
,vino blanco seco,,
,cava,,
