spicy,fresh,sweet,salty,dry,warm,gassed,acid,bitter,others,alcohol,fruit,juice,syrup
pepper,passion fruit syrup,cherry juice,salt,noilly_prat,whiskey,dry white wine,lemon juice,cointreau,egg,vodka,grapefruit,multivitamin juice,passion fruit syrup
tabasco sauce,lime,white rum,cucumbers,vodka,blue curacao,crémant,lime,blue curacao,ice cube,white wine,apple,lime juice,mint syrup
wasabi,lemonade,syrup,tabasco sauce,martini,tabasco sauce,champagne,lemonade,crémant,light whipping cream,blush wine,currant,lemon juice,sangria syrup
,lime juice,raspberry,celery salt,gin,wasabi,prosecco,cointreau,angostura bitter,lemongrass,apple liqueur,fruit,peach juice,fruit syrup
,pineapple juice,kirsch,tomato juice,prosecco,dark rum,sparkling wine,citrus fruit,cava,creme de cafe,apricot liqueur,coconut,apple juice,peach syrup
,orange,coconut,pistachio nut,schweppes,apple liqueur,blush wine,soft drink,creme de cafe,crushed ice,beer,cherry,banana juice,cane sugar syrup
,strawberry,cointreau,,tequila,anise basil,soft drink,lime juice,prosecco,whole milk,cava,strawberry,cherry juice,strawberry syrup
,campari,apple juice,,red martini,plum brandy,crémant,juice,coffee liqueur,lemon slice,cava,clementine orange,litchi juice,orange syrup
,passion fruit juice,grenadine,,dry white wine,amber rum,cava,orange,campari,ice cream,champagne,banana,apple juice,syrup
,lemon,sugar,,triple sec,rum,sparkling mineral water,orange juice,coffee,worcestershire sauce,coffee liqueur,lemon,pineapple juice,
,citrus fruit,cognac,,white martini,ginger,soda water,kiwi fruit,blood orange,lime zest,dry white wine,raspberry,apricot juice,
,fruit,malibu rum,,benedictine,litchi liqueur,sparkling water,sour cream,beer,rice milk,gin,orange,strawberry juice,
,orange juice,cane sugar,,cachaça,mangalore,stout,lemon,ginger,rice wine,lemon liqueur,pineapple,juice,
,lemon juice,passion fruit syrup,,,pastis,beer,fruit,whiskey,,liqueur,berry,orange juice,
,pisang ambon,apricot juice,,,tequila,schweppes,tomato juice,fruit,,noilly prat,pear,passion fruit juice,
,ice cream,strawberry,,,vermouth,coca-cola,lemon zest,triple sec,,rice wine,melon,manguo juice,
,multivitamin juice,cranberry juice,,,cognac,,tamarin juice,kumquat,,sparkling wine,citrus fruit,berry juice,
,apple juice,pineapple juice,,,lemon liqueur,,lemon slice,vermouth,,whiskey,,cranberry juice,
,mint,creme de cassis,,,pepper,,,juice,,,,grapefruit juice,
,lemon slice,porto,,,apricot liqueur,,,stout,,,,tomato juice,
,mint syrup,cinnamon,,,grand marnier,,,,,,,grape juice,
,calvados,nutmeg,,,liqueur,,,,,,,,
,juice,cane sugar syrup,,,coffee liqueur,,,,,,,,
,clementine orange,apricot,,,pear liqueur,,,,,,,,
,peach juice,apricot juice,,,get_27,,,,,,,,
,get_27,banana juice,,,,,,,,,,,
,water,manguo juice,,,,,,,,,,,
,coriander,passion fruit juice,,,,,,,,,,,
,,hard cider,,,,,,,,,,,
,,coconut milk,,,,,,,,,,,
,,apple cider,,,,,,,,,,,
,,grapefruit juice,,,,,,,,,,,
,,brown sugar,,,,,,,,,,,
,,apricot liqueur,,,,,,,,,,,
,,pear juice,,,,,,,,,,,
,,currant syrup,,,,,,,,,,,
,,apple liqueur,,,,,,,,,,,
,,pisang ambon,,,,,,,,,,,
,,lemon liqueur,,,,,,,,,,,
,,soft drink,,,,,,,,,,,
,,powdered sugar,,,,,,,,,,,
,,vanilla sugar,,,,,,,,,,,
,,banana,,,,,,,,,,,
,,plum brandy,,,,,,,,,,,
,,sangria syrup,,,,,,,,,,,
,,fruit,,,,,,,,,,,
,,litchi,,,,,,,,,,,
,,litchi juice,,,,,,,,,,,
,,berry juice,,,,,,,,,,,
,,litchi liqueur,,,,,,,,,,,
,,mint syrup,,,,,,,,,,,
,,lemon syrup,,,,,,,,,,,
,,orange syrup,,,,,,,,,,,
,,grand marnier,,,,,,,,,,,
,,blackcurrant,,,,,,,,,,,
,,granulated sugar,,,,,,,,,,,
,,melon,,,,,,,,,,,
,,juice,,,,,,,,,,,
,,orgeat,,,,,,,,,,,
,,strawberry juice,,,,,,,,,,,
,,fruit syrup,,,,,,,,,,,
,,liqueur,,,,,,,,,,,
,,pear,,,,,,,,,,,
,,cherry,,,,,,,,,,,
,,guava juice,,,,,,,,,,,
,,clementine orange,,,,,,,,,,,
,,berry,,,,,,,,,,,
,,pear liqueur,,,,,,,,,,,
,,peach juice,,,,,,,,,,,
,,blush wine,,,,,,,,,,,
,,coca-cola,,,,,,,,,,,
,,brown sugar,,,,,,,,,,,
,,peach syrup,,,,,,,,,,,
,,strawberry syrup,,,,,,,,,,,
,,grape juice,,,,,,,,,,,
,,brown_sugar,,,,,,,,,,,
